Номер отсчёта;Время, с;Напряжение 2_19.06_lmax-1, В
598;-88,02;0,0248
599;-88;0,0248
600;-87,98;0,0248
601;-87,96;0,0248
602;-87,94;0,0256
603;-87,92;0,0256
604;-87,9;0,0232
605;-87,88;0,0248
606;-87,86;0,0216
607;-87,84;0,0228
608;-87,82;0,0216
609;-87,8;0,024
610;-87,78;0,0248
611;-87,76;0,0256
612;-87,74;0,0256
613;-87,72;0,0256
614;-87,7;0,0256
615;-87,68;0,0256
616;-87,66;0,0248
617;-87,64;0,0256
618;-87,62;0,0256
619;-87,6;0,0248
620;-87,58;0,0248
621;-87,56;0,0256
622;-87,54;0,0248
623;-87,52;0,0248
624;-87,5;0,0248
625;-87,48;0,0256
626;-87,46;0,0232
627;-87,44;0,0244
628;-87,42;0,0248
629;-87,4;0,0248
630;-87,38;0,0256
631;-87,36;0,0256
632;-87,34;0,0248
633;-87,32;0,0256
634;-87,3;0,0256
635;-87,28;0,0256
636;-87,26;0,0248
637;-87,24;0,0224
638;-87,22;0,024
639;-87,2;0,024
640;-87,18;0,0248
641;-87,16;0,026
642;-87,14;0,026
643;-87,12;0,026
644;-87,1;0,026
645;-87,08;0,026
646;-87,06;0,0264
647;-87,04;0,0264
648;-87,02;0,026
649;-87;0,0264
650;-86,98;0,0264
651;-86,96;0,026
652;-86,94;0,0256
653;-86,92;0,0244
654;-86,9;0,0224
655;-86,88;0,0224
656;-86,86;0,0224
657;-86,84;0,024
658;-86,82;0,0248
659;-86,8;0,0244
660;-86,78;0,0248
661;-86,76;0,0248
662;-86,74;0,024
663;-86,72;0,0256
664;-86,7;0,024
665;-86,68;0,0256
666;-86,66;0,0248
667;-86,64;0,0256
668;-86,62;0,0256
669;-86,6;0,0256
670;-86,58;0,0256
671;-86,56;0,0248
672;-86,54;0,024
673;-86,52;0,0256
674;-86,5;0,0244
675;-86,48;0,0248
676;-86,46;0,0228
677;-86,44;0,0244
678;-86,42;0,024
679;-86,4;0,024
680;-86,38;0,0256
681;-86,36;0,026
682;-86,34;0,026
683;-86,32;0,026
684;-86,3;0,0264
685;-86,28;0,0248
686;-86,26;0,026
687;-86,24;0,0248
688;-86,22;0,026
689;-86,2;0,0256
690;-86,18;0,0248
691;-86,16;0,0256
692;-86,14;0,0248
693;-86,12;0,0256
694;-86,1;0,026
695;-86,08;0,0244
696;-86,06;0,0256
697;-86,04;0,0248
698;-86,02;0,0244
699;-86;0,0244
700;-85,98;0,0216
701;-85,96;0,024
702;-85,94;0,0232
703;-85,92;0,0248
704;-85,9;0,026
705;-85,88;0,0248
706;-85,86;0,0244
707;-85,84;0,0256
708;-85,82;0,0244
709;-85,8;0,0248
710;-85,78;0,026
711;-85,76;0,026
712;-85,74;0,0248
713;-85,72;0,024
714;-85,7;0,026
715;-85,68;0,0256
716;-85,66;0,0256
717;-85,64;0,0264
718;-85,62;0,026
719;-85,6;0,026
720;-85,58;0,0264
721;-85,56;0,0256
722;-85,54;0,026
723;-85,52;0,0276
724;-85,5;0,028
725;-85,48;0,028
726;-85,46;0,0288
727;-85,44;0,028
728;-85,42;0,028
729;-85,4;0,0288
730;-85,38;0,028
731;-85,36;0,0292
732;-85,34;0,0312
733;-85,32;0,0308
734;-85,3;0,0308
735;-85,28;0,0308
736;-85,26;0,0304
737;-85,24;0,0304
738;-85,22;0,0308
739;-85,2;0,0308
740;-85,18;0,0312
741;-85,16;0,032
742;-85,14;0,032
743;-85,12;0,0324
744;-85,1;0,0324
745;-85,08;0,0324
746;-85,06;0,0328
747;-85,04;0,0328
748;-85,02;0,0328
749;-85;0,0344
750;-84,98;0,0352
751;-84,96;0,0352
752;-84,94;0,0356
753;-84,92;0,0368
754;-84,9;0,036
755;-84,88;0,0372
756;-84,86;0,0384
757;-84,84;0,0392
758;-84,82;0,04
759;-84,8;0,0408
760;-84,78;0,0404
761;-84,76;0,0416
762;-84,74;0,042
763;-84,72;0,0424
764;-84,7;0,0424
765;-84,68;0,044
766;-84,66;0,0448
767;-84,64;0,0448
768;-84,62;0,0452
769;-84,6;0,0468
770;-84,58;0,0484
771;-84,56;0,0496
772;-84,54;0,05
773;-84,52;0,0516
774;-84,5;0,052
775;-84,48;0,0532
776;-84,46;0,054
777;-84,44;0,0536
778;-84,42;0,0552
779;-84,4;0,0552
780;-84,38;0,0552
781;-84,36;0,0556
782;-84,34;0,0564
783;-84,32;0,0568
784;-84,3;0,0568
785;-84,28;0,0572
786;-84,26;0,0572
787;-84,24;0,0572
788;-84,22;0,058
789;-84,2;0,0584
790;-84,18;0,058
791;-84,16;0,0588
792;-84,14;0,058
793;-84,12;0,0584
794;-84,1;0,0584
795;-84,08;0,0588
796;-84,06;0,0588
797;-84,04;0,0596
798;-84,02;0,0588
799;-84;0,0596
800;-83,98;0,0588
801;-83,96;0,0596
802;-83,94;0,06
803;-83,92;0,06
804;-83,9;0,06
805;-83,88;0,06
806;-83,86;0,0596
807;-83,84;0,06
808;-83,82;0,0596
809;-83,8;0,0596
810;-83,78;0,06
811;-83,76;0,06
812;-83,74;0,06
813;-83,72;0,0604
814;-83,7;0,0612
815;-83,68;0,0612
816;-83,66;0,0604
817;-83,64;0,0612
818;-83,62;0,0604
819;-83,6;0,0604
820;-83,58;0,0604
821;-83,56;0,0604
822;-83,54;0,0604
823;-83,52;0,0616
824;-83,5;0,0612
825;-83,48;0,0616
826;-83,46;0,0604
827;-83,44;0,0612
828;-83,42;0,0612
829;-83,4;0,0612
830;-83,38;0,0612
831;-83,36;0,0604
832;-83,34;0,0612
833;-83,32;0,0612
834;-83,3;0,0616
835;-83,28;0,0604
836;-83,26;0,0612
837;-83,24;0,0604
838;-83,22;0,0604
839;-83,2;0,0612
840;-83,18;0,0612
841;-83,16;0,0616
842;-83,14;0,0612
843;-83,12;0,0612
844;-83,1;0,0616
845;-83,08;0,0616
846;-83,06;0,0604
847;-83,04;0,0612
848;-83,02;0,0612
849;-83;0,0612
850;-82,98;0,0612
851;-82,96;0,0612
852;-82,94;0,0616
853;-82,92;0,0616
854;-82,9;0,0604
855;-82,88;0,0612
856;-82,86;0,0604
857;-82,84;0,0612
858;-82,82;0,0612
859;-82,8;0,0612
860;-82,78;0,0612
861;-82,76;0,0616
862;-82,74;0,0616
863;-82,72;0,0612
864;-82,7;0,0604
865;-82,68;0,0612
866;-82,66;0,0612
867;-82,64;0,0612
868;-82,62;0,0604
869;-82,6;0,0616
870;-82,58;0,0612
871;-82,56;0,0604
872;-82,54;0,0612
873;-82,52;0,0612
874;-82,5;0,0604
875;-82,48;0,0612
876;-82,46;0,0604
877;-82,44;0,0612
878;-82,42;0,0604
879;-82,4;0,0612
880;-82,38;0,0604
881;-82,36;0,0612
882;-82,34;0,0604
883;-82,32;0,0604
884;-82,3;0,06
885;-82,28;0,0612
886;-82,26;0,0596
887;-82,24;0,0588
888;-82,22;0,0584
889;-82,2;0,058
890;-82,18;0,058
891;-82,16;0,0568
892;-82,14;0,0564
893;-82,12;0,0556
894;-82,1;0,054
895;-82,08;0,0548
896;-82,06;0,0556
897;-82,04;0,0552
898;-82,02;0,0552
899;-82;0,054
900;-81,98;0,0536
901;-81,96;0,054
902;-81,94;0,0532
903;-81,92;0,054
904;-81,9;0,0524
905;-81,88;0,0524
906;-81,86;0,052
907;-81,84;0,0516
908;-81,82;0,0504
909;-81,8;0,0516
910;-81,78;0,0512
911;-81,76;0,052
912;-81,74;0,0516
913;-81,72;0,0524
914;-81,7;0,0532
915;-81,68;0,0536
916;-81,66;0,0524
917;-81,64;0,052
918;-81,62;0,0516
919;-81,6;0,052
920;-81,58;0,0516
921;-81,56;0,052
922;-81,54;0,0516
923;-81,52;0,0512
924;-81,5;0,05
925;-81,48;0,052
926;-81,46;0,0512
927;-81,44;0,0516
928;-81,42;0,0516
929;-81,4;0,0516
930;-81,38;0,05
931;-81,36;0,0516
932;-81,34;0,0504
933;-81,32;0,0504
934;-81,3;0,05
935;-81,28;0,05
936;-81,26;0,0496
937;-81,24;0,0496
938;-81,22;0,0488
939;-81,2;0,0488
940;-81,18;0,0488
941;-81,16;0,0484
942;-81,14;0,048
943;-81,12;0,048
944;-81,1;0,048
945;-81,08;0,048
946;-81,06;0,0468
947;-81,04;0,0464
948;-81,02;0,0464
949;-81;0,0468
950;-80,98;0,0456
951;-80,96;0,0456
952;-80,94;0,0452
953;-80,92;0,0452
954;-80,9;0,0448
955;-80,88;0,0452
956;-80,86;0,044
957;-80,84;0,0448
958;-80,82;0,0448
959;-80,8;0,044
960;-80,78;0,0436
961;-80,76;0,0432
962;-80,74;0,0432
963;-80,72;0,0436
964;-80,7;0,0424
965;-80,68;0,0424
966;-80,66;0,042
967;-80,64;0,0432
968;-80,62;0,0416
969;-80,6;0,042
970;-80,58;0,0408
971;-80,56;0,0416
972;-80,54;0,0408
973;-80,52;0,042
974;-80,5;0,0408
975;-80,48;0,0416
976;-80,46;0,0404
977;-80,44;0,0408
978;-80,42;0,04
979;-80,4;0,0404
980;-80,38;0,04
981;-80,36;0,0404
982;-80,34;0,04
983;-80,32;0,04
984;-80,3;0,04
985;-80,28;0,0392
986;-80,26;0,04
987;-80,24;0,0404
988;-80,22;0,0392
989;-80,2;0,04
990;-80,18;0,0388
991;-80,16;0,0388
992;-80,14;0,0384
993;-80,12;0,0388
994;-80,1;0,0384
995;-80,08;0,0388
996;-80,06;0,0388
997;-80,04;0,0388
998;-80,02;0,0388
999;-80;0,0392
1000;-79,98;0,0372
1001;-79,96;0,0392
1002;-79,94;0,0388
1003;-79,92;0,0388
1004;-79,9;0,0376
1005;-79,88;0,0384
1006;-79,86;0,0372
1007;-79,84;0,0384
1008;-79,82;0,0376
1009;-79,8;0,0372
1010;-79,78;0,0384
1011;-79,76;0,0384
1012;-79,74;0,0376
1013;-79,72;0,0384
1014;-79,7;0,0372
1015;-79,68;0,0384
1016;-79,66;0,0376
1017;-79,64;0,0376
1018;-79,62;0,0376
1019;-79,6;0,0372
1020;-79,58;0,0372
1021;-79,56;0,0376
1022;-79,54;0,0368
1023;-79,52;0,0368
1024;-79,5;0,034
1025;-79,48;0,0344
1026;-79,46;0,034
1027;-79,44;0,0356
1028;-79,42;0,036
1029;-79,4;0,0368
1030;-79,38;0,0372
1031;-79,36;0,0368
1032;-79,34;0,0372
1033;-79,32;0,0368
1034;-79,3;0,0368
1035;-79,28;0,0372
1036;-79,26;0,0372
1037;-79,24;0,0372
1038;-79,22;0,0368
1039;-79,2;0,0372
1040;-79,18;0,0376
1041;-79,16;0,0372
1042;-79,14;0,0368
1043;-79,12;0,0372
1044;-79,1;0,0368
1045;-79,08;0,0368
1046;-79,06;0,0368
1047;-79,04;0,0356
1048;-79,02;0,036
1049;-79;0,036
1050;-78,98;0,036
1051;-78,96;0,036
1052;-78,94;0,0368
1053;-78,92;0,036
1054;-78,9;0,036
1055;-78,88;0,0368
1056;-78,86;0,0356
1057;-78,84;0,0368
1058;-78,82;0,036
1059;-78,8;0,0368
1060;-78,78;0,036
1061;-78,76;0,036
1062;-78,74;0,036
1063;-78,72;0,036
1064;-78,7;0,036
1065;-78,68;0,036
1066;-78,66;0,0356
1067;-78,64;0,036
1068;-78,62;0,0356
1069;-78,6;0,036
1070;-78,58;0,034
1071;-78,56;0,0344
1072;-78,54;0,034
1073;-78,52;0,0356
1074;-78,5;0,0344
1075;-78,48;0,0344
1076;-78,46;0,036
1077;-78,44;0,036
1078;-78,42;0,036
1079;-78,4;0,0368
1080;-78,38;0,0352
1081;-78,36;0,036
1082;-78,34;0,0352
1083;-78,32;0,036
1084;-78,3;0,0344
1085;-78,28;0,0352
1086;-78,26;0,0356
1087;-78,24;0,036
1088;-78,22;0,0356
1089;-78,2;0,0356
1090;-78,18;0,0352
1091;-78,16;0,0356
1092;-78,14;0,0352
1093;-78,12;0,0352
1094;-78,1;0,0352
1095;-78,08;0,036
1096;-78,06;0,0344
1097;-78,04;0,0352
1098;-78,02;0,0344
1099;-78;0,0352
1100;-77,98;0,0344
1101;-77,96;0,0356
1102;-77,94;0,034
1103;-77,92;0,0356
1104;-77,9;0,0352
1105;-77,88;0,0356
1106;-77,86;0,0344
1107;-77,84;0,0344
1108;-77,82;0,0352
1109;-77,8;0,0352
1110;-77,78;0,0344
1111;-77,76;0,034
1112;-77,74;0,0344
1113;-77,72;0,0352
1114;-77,7;0,0352
1115;-77,68;0,0352
1116;-77,66;0,0352
1117;-77,64;0,0352
1118;-77,62;0,034
1119;-77,6;0,0352
1120;-77,58;0,0352
1121;-77,56;0,034
1122;-77,54;0,0344
1123;-77,52;0,036
1124;-77,5;0,0344
1125;-77,48;0,0344
1126;-77,46;0,0352
1127;-77,44;0,0356
1128;-77,42;0,0328
1129;-77,4;0,0344
1130;-77,38;0,0344
1131;-77,36;0,0352
1132;-77,34;0,0344
1133;-77,32;0,0352
1134;-77,3;0,0352
1135;-77,28;0,0356
1136;-77,26;0,0344
1137;-77,24;0,0352
1138;-77,22;0,0352
1139;-77,2;0,0352
1140;-77,18;0,0356
1141;-77,16;0,0356
1142;-77,14;0,0356
1143;-77,12;0,0356
1144;-77,1;0,0352
1145;-77,08;0,0356
1146;-77,06;0,0356
1147;-77,04;0,0356
1148;-77,02;0,0352
1149;-77;0,0352
1150;-76,98;0,0352
1151;-76,96;0,0344
1152;-76,94;0,034
1153;-76,92;0,0352
1154;-76,9;0,0344
1155;-76,88;0,0344
1156;-76,86;0,0344
1157;-76,84;0,0344
1158;-76,82;0,0344
1159;-76,8;0,0352
1160;-76,78;0,0344
1161;-76,76;0,0352
1162;-76,74;0,0344
1163;-76,72;0,0352
1164;-76,7;0,0344
1165;-76,68;0,0344
