Номер отсчёта;Время, с;Напряжение 1_19.06_lmax, В
801;-83,96;0,0264
802;-83,94;0,0272
803;-83,92;0,026
804;-83,9;0,026
805;-83,88;0,0256
806;-83,86;0,0264
807;-83,84;0,026
808;-83,82;0,0272
809;-83,8;0,026
810;-83,78;0,0272
811;-83,76;0,026
812;-83,74;0,0264
813;-83,72;0,0256
814;-83,7;0,026
815;-83,68;0,0264
816;-83,66;0,0264
817;-83,64;0,0256
818;-83,62;0,0264
819;-83,6;0,026
820;-83,58;0,0264
821;-83,56;0,026
822;-83,54;0,026
823;-83,52;0,026
824;-83,5;0,026
825;-83,48;0,026
826;-83,46;0,0264
827;-83,44;0,0256
828;-83,42;0,0264
829;-83,4;0,026
830;-83,38;0,0256
831;-83,36;0,0264
832;-83,34;0,0264
833;-83,32;0,0264
834;-83,3;0,0264
835;-83,28;0,0272
836;-83,26;0,0272
837;-83,24;0,026
838;-83,22;0,0264
839;-83,2;0,026
840;-83,18;0,026
841;-83,16;0,026
842;-83,14;0,026
843;-83,12;0,026
844;-83,1;0,0264
845;-83,08;0,026
846;-83,06;0,026
847;-83,04;0,026
848;-83,02;0,026
849;-83;0,0264
850;-82,98;0,026
851;-82,96;0,0256
852;-82,94;0,026
853;-82,92;0,0256
854;-82,9;0,026
855;-82,88;0,0264
856;-82,86;0,026
857;-82,84;0,0256
858;-82,82;0,0264
859;-82,8;0,0272
860;-82,78;0,0272
861;-82,76;0,0264
862;-82,74;0,0264
863;-82,72;0,0256
864;-82,7;0,0308
865;-82,68;0,026
866;-82,66;0,0264
867;-82,64;0,026
868;-82,62;0,0264
869;-82,6;0,0256
870;-82,58;0,026
871;-82,56;0,0256
872;-82,54;0,026
873;-82,52;0,0256
874;-82,5;0,026
875;-82,48;0,0256
876;-82,46;0,026
877;-82,44;0,0256
878;-82,42;0,0248
879;-82,4;0,0248
880;-82,38;0,026
881;-82,36;0,0264
882;-82,34;0,0248
883;-82,32;0,026
884;-82,3;0,0232
885;-82,28;0,0264
886;-82,26;0,026
887;-82,24;0,026
888;-82,22;0,0264
889;-82,2;0,0256
890;-82,18;0,026
891;-82,16;0,026
892;-82,14;0,026
893;-82,12;0,0264
894;-82,1;0,026
895;-82,08;0,026
896;-82,06;0,0264
897;-82,04;0,026
898;-82,02;0,0264
899;-82;0,026
900;-81,98;0,0264
901;-81,96;0,0248
902;-81,94;0,0248
903;-81,92;0,0248
904;-81,9;0,0256
905;-81,88;0,0256
906;-81,86;0,0256
907;-81,84;0,0256
908;-81,82;0,026
909;-81,8;0,0256
910;-81,78;0,026
911;-81,76;0,0256
912;-81,74;0,026
913;-81,72;0,026
914;-81,7;0,0256
915;-81,68;0,026
916;-81,66;0,0256
917;-81,64;0,0248
918;-81,62;0,0264
919;-81,6;0,0248
920;-81,58;0,0256
921;-81,56;0,0244
922;-81,54;0,0248
923;-81,52;0,0248
924;-81,5;0,0256
925;-81,48;0,0256
926;-81,46;0,026
927;-81,44;0,0256
928;-81,42;0,0256
929;-81,4;0,0248
930;-81,38;0,0256
931;-81,36;0,0248
932;-81,34;0,0248
933;-81,32;0,0244
934;-81,3;0,0248
935;-81,28;0,0256
936;-81,26;0,0244
937;-81,24;0,0244
938;-81,22;0,024
939;-81,2;0,0244
940;-81,18;0,0248
941;-81,16;0,0248
942;-81,14;0,0256
943;-81,12;0,0244
944;-81,1;0,0248
945;-81,08;0,0256
946;-81,06;0,0256
947;-81,04;0,0248
948;-81,02;0,0256
949;-81;0,0244
950;-80,98;0,0256
951;-80,96;0,0248
952;-80,94;0,0256
953;-80,92;0,0248
954;-80,9;0,0256
955;-80,88;0,0244
956;-80,86;0,0248
957;-80,84;0,0244
958;-80,82;0,0248
959;-80,8;0,024
960;-80,78;0,0248
961;-80,76;0,0244
962;-80,74;0,0248
963;-80,72;0,0244
964;-80,7;0,0244
965;-80,68;0,024
966;-80,66;0,024
967;-80,64;0,024
968;-80,62;0,0244
969;-80,6;0,024
970;-80,58;0,0244
971;-80,56;0,0244
972;-80,54;0,0244
973;-80,52;0,024
974;-80,5;0,0248
975;-80,48;0,024
976;-80,46;0,0256
977;-80,44;0,0248
978;-80,42;0,0248
979;-80,4;0,0244
980;-80,38;0,0244
981;-80,36;0,0248
982;-80,34;0,0244
983;-80,32;0,0244
984;-80,3;0,0244
985;-80,28;0,024
986;-80,26;0,0248
987;-80,24;0,024
988;-80,22;0,0244
989;-80,2;0,0244
990;-80,18;0,0256
991;-80,16;0,024
992;-80,14;0,0244
993;-80,12;0,0248
994;-80,1;0,0248
995;-80,08;0,024
996;-80,06;0,0244
997;-80,04;0,0244
998;-80,02;0,0244
999;-80;0,0248
1000;-79,98;0,0248
1001;-79,96;0,0244
1002;-79,94;0,0244
1003;-79,92;0,0244
1004;-79,9;0,0256
1005;-79,88;0,0244
1006;-79,86;0,0244
1007;-79,84;0,0248
1008;-79,82;0,0244
1009;-79,8;0,0244
1010;-79,78;0,024
1011;-79,76;0,0232
1012;-79,74;0,0244
1013;-79,72;0,0228
1014;-79,7;0,0248
1015;-79,68;0,024
1016;-79,66;0,0232
1017;-79,64;0,024
1018;-79,62;0,0248
1019;-79,6;0,0244
1020;-79,58;0,0244
1021;-79,56;0,0244
1022;-79,54;0,024
1023;-79,52;0,024
1024;-79,5;0,0244
1025;-79,48;0,0288
1026;-79,46;0,0232
1027;-79,44;0,024
1028;-79,42;0,024
1029;-79,4;0,024
1030;-79,38;0,024
1031;-79,36;0,024
1032;-79,34;0,0244
1033;-79,32;0,024
1034;-79,3;0,0244
1035;-79,28;0,0248
1036;-79,26;0,0244
1037;-79,24;0,0244
1038;-79,22;0,0248
1039;-79,2;0,024
1040;-79,18;0,0244
1041;-79,16;0,024
1042;-79,14;0,024
1043;-79,12;0,024
1044;-79,1;0,024
1045;-79,08;0,0248
1046;-79,06;0,0244
1047;-79,04;0,0244
1048;-79,02;0,024
1049;-79;0,0232
1050;-78,98;0,024
1051;-78,96;0,0244
1052;-78,94;0,024
1053;-78,92;0,024
1054;-78,9;0,0248
1055;-78,88;0,0244
1056;-78,86;0,0248
1057;-78,84;0,024
1058;-78,82;0,024
1059;-78,8;0,0232
1060;-78,78;0,0248
1061;-78,76;0,024
1062;-78,74;0,024
1063;-78,72;0,024
1064;-78,7;0,024
1065;-78,68;0,024
1066;-78,66;0,0244
1067;-78,64;0,024
1068;-78,62;0,0244
1069;-78,6;0,024
1070;-78,58;0,024
1071;-78,56;0,0232
1072;-78,54;0,0244
1073;-78,52;0,024
1074;-78,5;0,0228
1075;-78,48;0,0248
1076;-78,46;0,0228
1077;-78,44;0,024
1078;-78,42;0,0248
1079;-78,4;0,024
1080;-78,38;0,0244
1081;-78,36;0,0244
1082;-78,34;0,0244
1083;-78,32;0,0248
1084;-78,3;0,0248
1085;-78,28;0,0244
1086;-78,26;0,0256
1087;-78,24;0,0244
1088;-78,22;0,0244
1089;-78,2;0,024
1090;-78,18;0,0244
1091;-78,16;0,0244
1092;-78,14;0,0248
1093;-78,12;0,0248
1094;-78,1;0,0256
1095;-78,08;0,0248
1096;-78,06;0,0248
1097;-78,04;0,024
1098;-78,02;0,0272
1099;-78;0,0256
1100;-77,98;0,0244
1101;-77,96;0,0244
1102;-77,94;0,0256
1103;-77,92;0,0244
1104;-77,9;0,0248
1105;-77,88;0,0248
1106;-77,86;0,0248
1107;-77,84;0,0256
1108;-77,82;0,0248
1109;-77,8;0,0244
1110;-77,78;0,0244
1111;-77,76;0,0228
1112;-77,74;0,024
1113;-77,72;0,0232
1114;-77,7;0,0244
1115;-77,68;0,0244
1116;-77,66;0,0248
1117;-77,64;0,0244
1118;-77,62;0,024
1119;-77,6;0,024
1120;-77,58;0,0248
1121;-77,56;0,024
1122;-77,54;0,024
1123;-77,52;0,024
1124;-77,5;0,0232
1125;-77,48;0,024
1126;-77,46;0,024
1127;-77,44;0,0244
1128;-77,42;0,0248
1129;-77,4;0,0248
1130;-77,38;0,0248
1131;-77,36;0,0244
1132;-77,34;0,0248
1133;-77,32;0,0248
1134;-77,3;0,0248
1135;-77,28;0,0244
1136;-77,26;0,0244
1137;-77,24;0,0224
1138;-77,22;0,0244
1139;-77,2;0,024
1140;-77,18;0,0244
1141;-77,16;0,024
1142;-77,14;0,0256
1143;-77,12;0,0244
1144;-77,1;0,024
1145;-77,08;0,0256
1146;-77,06;0,0248
1147;-77,04;0,0248
1148;-77,02;0,0248
1149;-77;0,0244
1150;-76,98;0,0244
1151;-76,96;0,024
1152;-76,94;0,0244
1153;-76,92;0,0244
1154;-76,9;0,0244
1155;-76,88;0,0224
1156;-76,86;0,0244
1157;-76,84;0,024
1158;-76,82;0,0244
1159;-76,8;0,024
1160;-76,78;0,0244
1161;-76,76;0,024
1162;-76,74;0,024
1163;-76,72;0,024
1164;-76,7;0,0244
1165;-76,68;0,024
1166;-76,66;0,026
1167;-76,64;0,0248
1168;-76,62;0,024
1169;-76,6;0,0244
1170;-76,58;0,024
1171;-76,56;0,024
1172;-76,54;0,0228
1173;-76,52;0,0244
1174;-76,5;0,0224
1175;-76,48;0,024
1176;-76,46;0,0256
1177;-76,44;0,0248
1178;-76,42;0,0244
1179;-76,4;0,026
1180;-76,38;0,0244
1181;-76,36;0,0228
1182;-76,34;0,0244
